;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity
Dates;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;REVENUE;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;EBIT;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;NET_INCOME;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_NI_AVAILABLE_TO_COMMON_ADJ;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;IS_ADJUSTED_OPERATING_INCOME;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA;EBITDA
28.09.1990;1354,09;156,831;936,612;369,4;1769;#N/A N/A;#N/A N/A;7176;3343;2869;2795;6652;7930,9512;1712,3;15277;1005,087;833,607;#N/A N/A;6063;9492;1914,3;5212,8999;3098,7;1012,441;2792,7539;#N/A N/A;32,761;26086;1492,3311;1643;140,515;14,356;58,314;123;427,7;#N/A N/A;#N/A N/A;389;569;480;105;898;423,735;359,5;2053;#N/A N/A;165,325;#N/A N/A;2558;804;673,8;373,8;682,9;232,616;512,43;#N/A N/A;12,241;1963;66,719;328,5;98,476;9,152;36,096;87,6;242,2;#N/A N/A;#N/A N/A;378;336;314;54;555;282,807;232,7;1112;107,231;99,654;#N/A N/A;344;403;465;239,8;358,4;171,924;394,172;#N/A N/A;7,924;1075;40,401;243,3;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;201,299;17,13;67,166;136;551,6;#N/A N/A;#N/A N/A;532;782;601;243;1134;507,821;521,5;3220;#N/A N/A;169,977;#N/A N/A;2708;1462;#N/A N/A;544,2;1272,8;314,367;572,162;#N/A N/A;12,566;3148;86,359;385,2
31.12.1990;1675,506;168,5;1007,542;460,5;1703,1;#N/A N/A;#N/A N/A;7015;3280;2700;2757;6857;10358,9385;1492,4;23061;1073,932;648,828;#N/A N/A;6301;12721;2099,5;5896;3105,2;1046,075;2556,01;#N/A N/A;43,949;31862;1540,5081;1785,3;228,392;15,872;68,433;159,3;368,8;#N/A N/A;#N/A N/A;380;458;277;41;799;727,469;271,8;4256;;99,083;;2422;1059;678,1;297,8;577,9;205,756;421,469;#N/A N/A;16,215;2440;52,925;210,6;150,509;10,271;41,476;112,9;186,2;#N/A N/A;#N/A N/A;318;295;232;11;490;481,843;170,4;2461;93,357;58,081;#N/A N/A;137;633;442,2;168,8;236;163,876;294,335;#N/A N/A;10,397;1555;32,139;154,8;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;275,523;19,154;78,702;174,8;502,9;#N/A N/A;#N/A N/A;572;691;401;169;1046;831,017;437,6;6445;;108,023;;2575;1739;#N/A N/A;462,4;1169,7;294,729;494,122;#N/A N/A;16,824;4191;86,359;266,9
28.03.1991;1597,678;179,374;1186,89;486,9;1557,8;#N/A N/A;#N/A N/A;6091;3389;3149;2675;6795;9280,5703;1439;13587;1021,167;802,208;#N/A N/A;6292;9711;2048,8999;4747,2998;2995,7;1132,778;2480,9741;#N/A N/A;49,707;27237;1820,822;1695,7;186,545;24,016;84,586;173,5;327,6;#N/A N/A;#N/A N/A;370;510;622;37;594;465,552;195,4;1049;;124,276;;2427;951;720,5;111;670,6;269,15;493,996;#N/A N/A;17,855;3278;112,786;372,7;131,149;15,555;51,288;123,8;168,5;#N/A N/A;#N/A N/A;309;300;418;-32;424;306,953;126,6;-1707;84,171;70,668;#N/A N/A;264;557;483,5;40,2;-1209,4;197,411;320,914;#N/A N/A;11,646;2240;67,493;267,4;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;232,443;27,292;96,163;192,6;453,8;#N/A N/A;#N/A N/A;536;742;750;189;835;565,554;371,1;2307;;134,129;;2590;1620;#N/A N/A;312,3;1231,2;369,72;591,673;#N/A N/A;18,57;4483;86,359;434
28.06.1991;1528,604;186,696;1352,792;526,632;1670,8;#N/A N/A;#N/A N/A;7813;3349;3031;2691;6722;10339,9717;1511,6;14764;1063,512;718,967;#N/A N/A;6363;8530;2122,3999;5205;3131,8;1252,686;3039,5229;#N/A N/A;56,767;24251;1704,396;1631,1;135,202;28,069;107,993;194,042;391,3;#N/A N/A;#N/A N/A;576;524;606;26;411;516,25;257,1;385;;100,335;;2386;604;814,3;11,8;685,9;322,886;693,267;#N/A N/A;19,878;1722;80,168;246,6;-53,055;18,269;71,828;138,443;232;#N/A N/A;#N/A N/A;454;299;406;-17;304;345,893;165,5;126;103,712;58,643;#N/A N/A;256;384;556;43,4;324,7;230,803;482,392;#N/A N/A;13,222;1125;49,269;179,1;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;188,636;31,466;120,626;222,204;518,5;#N/A N/A;#N/A N/A;788;760;735;174;643;627,453;477,5;1552;;111,363;;2551;1231;#N/A N/A;208,4;1268,5;432,28;764,818;#N/A N/A;21,274;2910;86,359;308,7
30.09.1991;1507,061;220,785;1298,277;580,5;1736,6;#N/A N/A;#N/A N/A;7657;3378;3119;2358;7205;10627,5;1739,4;14447;1125,78;947,161;#N/A N/A;6483;8872;2117,3999;5181,2002;3154,3;1187,703;3172,116;#N/A N/A;63,588;24238;1667,318;1773;121,253;30,264;87,341;202,9;440,3;#N/A N/A;#N/A N/A;510;495;526;-19;898;527,716;279,8;602;;194,291;;2235;331;790,4;214,2;630,5;238,003;644,704;#N/A N/A;23,465;1620;75,254;373,4;81,238;19,731;58,385;144;258,7;#N/A N/A;#N/A N/A;401;296;363;-37;536;353,2;174,1;177;107,747;114,437;#N/A N/A;31;313;552,4;119,5;331,5;201,729;456,313;#N/A N/A;15,472;1115;46,064;274,7;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;179,223;33,689;101,084;223,6;569,5;#N/A N/A;#N/A N/A;726;728;647;131;1147;652,177;512,4;1722;;204,789;;2369;978;#N/A N/A;391,2;1211,1;347,713;720,846;#N/A N/A;24,328;2814;86,359;434,4
31.12.1991;1862,6121;260,275;1298,715;681,9;1729,8;#N/A N/A;#N/A N/A;7753;3224;3148;2458;7507;13638,8604;1936,6;21968;1141,241;743,417;#N/A N/A;6625;9348;2314;5706,5;3216,5;1205,449;2879,001;#N/A N/A;73,97;27121;1708,731;1850,2;262,654;32,757;101,758;246,1;405,5;#N/A N/A;#N/A N/A;498;430;410;-137;868;906,961;326,4;-1097;;106,625;;2140;60;784,5;-36;538,3;249,901;487,078;#N/A N/A;28,485;1451;58,905;260,8;166,018;21,294;67,649;175,2;200,4;#N/A N/A;#N/A N/A;403;259;274;-318;523;602,43;208,1;-1457;109,432;61,535;#N/A N/A;238;39;529,8;-1224,1;228,8;188,686;358,383;#N/A N/A;18,443;1120;35,449;0,9;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;312,415;36,998;116,088;270,9;537,1;#N/A N/A;#N/A N/A;730;698;525;15;1129;1046,647;525;1694;;117,935;;2431;733;#N/A N/A;153,1;1153,3;364,707;503,135;#N/A N/A;30,188;2688;86,359;320,5
31.03.1992;1716,025;335,276;1639,575;680,9;1618,3;#N/A N/A;#N/A N/A;7967;3438;3357;2183;7483;11649,4297;1655,1;14037;1099,209;867,019;#N/A N/A;3749;8515;2223,3999;5058;3019,2;1241,291;2772;#N/A N/A;91,374;24475;2038,016;1761,3;210,405;39,036;122,8;251;382,3;#N/A N/A;#N/A N/A;551;509;613;-181;687;585,162;260,8;1168;;140,754;;242;480;816,7;143;669,1;268,33;574;#N/A N/A;35,862;1771;124,843;394,9;135,078;24,98;79,496;178,8;187,4;#N/A N/A;#N/A N/A;-582;303;-143;-2374;474;386,955;164,1;2542;182,271;82,517;#N/A N/A;274;-301;96,6;-228;358,5;184,071;167;#N/A N/A;23,231;1295;77,149;14,8;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;260,673;45,196;138,13;278,5;515,9;#N/A N/A;#N/A N/A;767;815;757;-15;955;725,917;461,9;2333;;152,5;;419;1144;#N/A N/A;347;1260,7;391,903;647;#N/A N/A;38,048;3084;86,359;460,6
30.06.1992;1740,171;350,951;1856,38;815,425;1774,1;#N/A N/A;#N/A N/A;7823;3519;3413;2600;7167;13028,4502;1853,5;16224;1172,957;847,614;#N/A N/A;3834;9357;2373,7;5635;3149;1319,693;3550;#N/A N/A;110,691;24547;1885,968;1694,2;201,061;42,772;154,185;295,979;448;#N/A N/A;#N/A N/A;573;517;637;-42;414;616,441;353;1389;;112,954;;561;463;915,8;243;650;282,553;832;#N/A N/A;41,575;1294;91,37;274,4;131,665;27,6;101,867;210,06;254,1;#N/A N/A;#N/A N/A;432;317;452;-64;339;420,448;220,8;734;143,122;70,729;#N/A N/A;310;315;643,7;148;298,1;213,16;565;#N/A N/A;27,24;930;56,571;219,8;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;258,188;49,279;172,332;335,3;584,6;#N/A N/A;#N/A N/A;798;771;773;124;687;761,72;524,6;2690;;127,065;;824;1117;#N/A N/A;462;1265,3;410,579;919;#N/A N/A;43,542;2528;86,359;338,9
30.09.1992;1767,734;447,765;1834,006;818;1912,5;#N/A N/A;#N/A N/A;6897;3551;3480;2677;7879;13683,8203;2058,8;14702;1125,114;1099,8621;#N/A N/A;3936;8939;2464,3;5287;3167;1426,167;3508;#N/A N/A;126,379;27241;1842,246;1827,6;131,688;49,512;124,913;289;513;#N/A N/A;#N/A N/A;440;512;574;79;1023;655,947;346,9;-4041;;205,194;;-280;720;877;225;668,2;327,859;766;#N/A N/A;50,466;2036;83,335;403;97,612;32,088;84,36;209;289,2;#N/A N/A;#N/A N/A;345;324;414;5;-515;437,803;223,7;-2778;-63,886;122,593;#N/A N/A;-205;467;634,8;126;386,6;240,759;540;#N/A N/A;33,243;1145;51,459;297,5;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;191,714;56,162;142,096;327;656,2;#N/A N/A;#N/A N/A;682;770;721;244;1302;808,576;535,2;-2894;;217,368;;-262;1357;#N/A N/A;432;1281,5;452,909;855;#N/A N/A;53,446;3089;86,359;471,9
